feedback_ref,organization,user_type,organization_size,country,actor_class
F33364619,Agencia Espacial Española,Public authority,Medium (50 to 249 employees),Spain,Civil_Public
F33364617,Forschungszentrum Jülich,Academic/research Institution,Large (250 or more),Germany,Science
F33364615,University of Birmingham,Academic/research Institution,Large (250 or more),United Kingdom,Science
F33364611,Subra A/S,Company/business,Small (10 to 49 employees),Denmark,SME_Industry
F33364607,Ecolab,Company/business,Large (250 or more),United States,Big_Industry
F33364606,IGMNIR_Economic Chamber of Non-Ferrous Metals and Recycling,Business association,Micro (1 to 9 employees),Poland,Associations
F33364605,,EU citizen,,Spain,Civil_Public
F33364597,"ANIVEC/APIV - Associação Nacional das Indústrias de Vestuário, Confecção e Moda",Business association,Micro (1 to 9 employees),Portugal,Associations
F33364595,Slovak Academy of Sceiences,Academic/research Institution,Large (250 or more),Slovakia,Science
F33364594,University Hasselt,Academic/research Institution,Large (250 or more),Belgium,Science
F33364593,Wiener Stadtwerke GmbH,Company/business,Large (250 or more),Austria,Big_Industry
F33364591,Safran,Company/business,Large (250 or more),France,Big_Industry
F33364590,AcumenIST SRL,Company/business,Micro (1 to 9 employees),Germany,SME_Industry
F33364589,Eni S.p.A.,Company/business,Large (250 or more),Italy,Big_Industry
F33364586,Hungarian Academy of Engineering,Non-governmental organisation (NGO),Micro (1 to 9 employees),Hungary,Science
F33364585,HiRES s.r.l.,Company/business,Micro (1 to 9 employees),Italy,SME_Industry
F33364584,European Semiconductor Industry Association,Business association,Micro (1 to 9 employees),Belgium,Associations
F33364582,IFF,Company/business,Large (250 or more),Netherlands,Big_Industry
F33364581,Polish Confederation Lewiatan,Business association,Large (250 or more),Poland,Associations
F33364579,DigiPass CSA,Other,Small (10 to 49 employees),Germany,Civil_Public
F33364578,Innovative Advanced Materials Initiative (IAM-I),Other,Large (250 or more),Belgium,Civil_Public
F33364575,CERN - European Organisation for Nuclear Research,Academic/research Institution,Large (250 or more),Switzerland,Science
F33364574,EMMC ASBL,Other,Micro (1 to 9 employees),Belgium,Civil_Public
F33364573,International Iberian Nanotechnology Laboratory (INL),Academic/research Institution,Large (250 or more),Portugal,Science
F33364572,LEAPS aisbl - League of European Accelerator-based Photon Sources,Academic/research Institution,Micro (1 to 9 employees),Germany,Science
F33364570,Zabala Innovation,Company/business,Large (250 or more),Spain,Big_Industry
F33364569,Carl Zeiss AG,Company/business,Large (250 or more),Germany,Big_Industry
F33364567,Air Liquide,Company/business,Large (250 or more),France,Big_Industry
F33364565,EURIMA (European Insulation Manufacturers Association),Business association,Micro (1 to 9 employees),Belgium,Associations
F33364564,De Beers Group,Company/business,Large (250 or more),United Kingdom,Big_Industry
F33364563,National Physical Laboratory (NPL),Academic/research Institution,Large (250 or more),United Kingdom,Science
F33364562,FEAD - European Waste Management Association,Business association,Micro (1 to 9 employees),Belgium,Associations
F33364561,EURAMET e.V.,Non-governmental organisation (NGO),Small (10 to 49 employees),Germany,Science
F33364557,KVELOCE,Company/business,Small (10 to 49 employees),Spain,SME_Industry
F33364555,Stora Enso Oyj,Company/business,Large (250 or more),Finland,Big_Industry
F33364554,European Metals,Business association,Small (10 to 49 employees),Belgium,Associations
F33364552,IMA-Europe,Business association,Small (10 to 49 employees),Belgium,Associations
F33364551,Polymeris,Business association,Small (10 to 49 employees),France,Associations
F33364550,Orano,Company/business,Large (250 or more),France,Big_Industry
F33364547,VTT Technical Research Centre of Finland,Academic/research Institution,Large (250 or more),Finland,Science
F33364546,BioChem Europe (Cefic Sector Group),Business association,Medium (50 to 249 employees),Belgium,Associations
F33364545,Dutch National Institute for Public Health and the Environment (RIVM),Public authority,Large (250 or more),Netherlands,Civil_Public
F33364544,Verband der Automobilindustrie e.V.,Business association,Medium (50 to 249 employees),Germany,Associations
F33364542,AcumenIST SRL (for MACRAMÉ Project (ID: 101092686)),Company/business,Micro (1 to 9 employees),Belgium,SME_Industry
F33364543,Foundation Jean-Marie Lehn,Academic/research Institution,Micro (1 to 9 employees),France,Science
F33364541,EURATEX,Business association,Small (10 to 49 employees),Belgium,Associations
F33364539,Agencia Estatal Consejo Superior de Investigaciones Científicas (CSIC),Academic/research Institution,Large (250 or more),Spain,Science
F33364537,Moses Productos S.L.,Company/business,Small (10 to 49 employees),Spain,SME_Industry
F33364535,APAG (Sector Group of Cefic),Business association,Medium (50 to 249 employees),Belgium,Associations
F33364534,Aitiip Technology Centre,Academic/research Institution,Small (10 to 49 employees),Spain,Science
